Sentence,NegPos
Top 10 Nations for reachable Bitcoin Nodes...  ,0
USA hosts the most reachable Bitcoin nodes.  ,0
Yılık/çeyreklik ciro hedeflerini tutturma oranları küresel satış rakamları çip sıkıntısı kaynakl…  ,0
Ne bahane uyduruyorlar mesela? ,0
Günaydın! Haftanız keyifli ve bereketli geçsin  ,0
Bugün yine video günü  Hangi konuları konuşalım? Önerileri bek…  ,0
FED Faiz arttırmaya devam edecek. ,0
Bir yerde bu arttırımlar duracak. ,0
Dünya yeni faiz oranlarının hala enflasyon al…  ,0
_io Yup Avax is really for dummies. ,0
Zamanında 120 Dolar olan $LUNA nın bugün 1 Cent olması…  ,0
Twitter’da önüme düşen analizlere bakıyorum hemen hepsi isabetsiz ,0
Her şey deli gibi yükselirken ne de güzel ve ba…  ,0
$UST nin nalları dikmesiyle yine başladılar regülasyon boruları çalmaya. ,0
Korkacak bir şey yok. Bir ülkenin yasakla…  ,0
_ege  Fred Çakmaktaş döneminden kalma yazılımlar kullanırsan olacağı o ,0
Syntropy ($NOIA)'nın patentlediği DARP teknolojisi ile küresel internet ağındaki en verimli data transfer yolların…  ,0
İran'da nükleer konusunda haklı. Ama hakkını savunmak için bütün Dünya'yı karşısına…  ,0
 İlk Master'ımı Uluslararası İlişkiler ve Kamu Politikası üzerine yaptım senin gibi alaylı artistlik yapmıyorum vesselam. ,0
Tutturamadınız ama baya yaklaştınız =) Gece Asya piyasalarında 15.92 ye kadar gördük. ,0
Evet CZ bitirmek için kanal 7 haber yapması talimatını da ben verdim.  ,0
Düştü  ,0
İnanmıyorsan gir bak ,0
Yeni Hafta başladı öncelikle hayırlı ve bol kazançlı bir hafta geçirmenizi dilerim ,0
Bitcoin 30.500$ seviyesinde   ,0
Finansal piyasalar için en önemli hafta başlıyor! ,0
Bitcoin’de bugün haftalık kapanış gerçekleşecek Bu gece itibari…  ,0
Bitcoin tekrar 30.000$ seviyesinin üzerine ulaştı! ,0
31.340$ sonrasında hareket hızlanacaktır! ,0
Tavsiyem bugün aileniz ve sevdiklerinizle beraber piyasalardan uzak bir gün geçirin! ,0
